id,name,category,family,grade,standard_system,standard_designation,uns,en_number,tags,notes,source_type,source_name,confidence,density,youngs_modulus,poisson_ratio,yield_strength,ultimate_strength,toughness,thermal_expansion,melting_point,thermal_conductivity,created_at,updated_at,default_condition_id
11,Copper Alloy C11000 [0011],metal,copper alloy,C11000,EN,EN 78378,X54938,1.7723,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8513.16,133105534565.56,0.359,398133560.49,1882211038.58,29494447.57,2.0853023e-05,1306.83,261.7409,2026-02-02T18:45:01.339996,2026-02-02T18:45:01.340000,12
12,Nylon PA6 [0012],polymer,nylon,PA6,EN,EN 94526,,1.3687,"bundle,nylon,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1340.79,7988993360.13,0.374,161523607.68,299332909.04,9238494.92,9.234982e-05,135.77,0.3188,2026-02-02T18:45:01.340614,2026-02-02T18:45:01.340620,14
13,Aluminum 5052 [0013],metal,aluminum,5052,ASTM,ASTM B703,X49163,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8284.68,130604824731.23,0.3253,785479256.04,1072913457.33,117051958.55,1.412468e-05,1083.18,165.6549,2026-02-02T18:45:01.341163,2026-02-02T18:45:01.341170,15
14,Copper Alloy C36000 [0014],metal,copper alloy,C36000,ASTM,ASTM E240,X98822,,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8507.96,84723457594.81,0.2937,625813151.82,1328519104.56,87447057.85,2.3149859e-05,1170.26,346.6894,2026-02-02T18:45:01.341892,2026-02-02T18:45:01.341895,17
15,Silicon Carbide SiC-ReactionBonded [0015],ceramic,silicon carbide,SiC-ReactionBonded,ISO,ISO 3877,,,"bundle,ceramic,silicon_carbide,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,3602.99,372765571888.46,0.2513,3639303963.21,3899419808.39,13186247.59,5.7122059e-06,1800.92,219.9867,2026-02-02T18:45:01.367348,2026-02-02T18:45:01.367356,19
16,Nylon PA66 [0016],polymer,nylon,PA66,ASTM,ASTM E444,,,"bundle,nylon,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1432.36,3710433262.92,0.4133,127762990.86,205047372.25,3498912.93,0.00012142881,195.23,0.1978,2026-02-02T18:45:01.367747,2026-02-02T18:45:01.367754,20
17,Abs ABS-HighImpact [0017],polymer,abs,ABS-HighImpact,ASTM,ASTM B686,,,"abs,bundle,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1305.35,10343888413.83,0.452,84800219.2,128721452.38,5087231.44,5.8718934e-05,371.82,0.2745,2026-02-02T18:45:01.368385,2026-02-02T18:45:01.368392,21
18,Silicon Nitride Si3N4-HIP [0018],ceramic,silicon nitride,Si3N4-HIP,EN,EN 53158,,1.9655,"bundle,ceramic,silicon_nitride,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,2986.89,409184034432.5,0.232,652796002.03,779613791.66,4055465.63,5.77279e-06,1778.79,127.2454,2026-02-02T18:45:01.368835,2026-02-02T18:45:01.368842,22
19,Peek PEEK [0019],polymer,peek,PEEK,ASTM,ASTM A169,,,"bundle,peek,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1047.34,9907092797.72,0.4377,84412055.66,114586638.94,4178265.01,0.00010481651,159.89,0.7088,2026-02-02T18:45:01.370036,2026-02-02T18:45:01.370042,23
20,Titanium Ti-3Al-2.5V [0020],metal,titanium,Ti-3Al-2.5V,EN,EN 69350,X96800,1.2441,"bundle,metal,synthetic,titanium",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7812.52,106480011936.38,0.3046,300927872.26,1528688282.87,17339623.92,1.0315755e-05,586.75,222.1085,2026-02-02T18:45:01.371119,2026-02-02T18:45:01.371126,25
21,Aluminum 6063 [0021],metal,aluminum,6063,ISO,ISO 19108,X37119,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8174.35,134506111258.55,0.2802,273568098.13,641596322.16,26623065.35,2.2837678e-05,1084.34,299.5461,2026-02-02T18:45:01.371530,2026-02-02T18:45:01.371534,26
22,Titanium CP Grade 2 [0022],metal,titanium,CP Grade 2,ISO,ISO 25979,X38789,,"bundle,metal,synthetic,titanium",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8429.05,173375647039.39,0.2667,153843911.88,316025526.23,18687816.78,1.6985503e-05,658.7,145.3007,2026-02-02T18:45:01.371956,2026-02-02T18:45:01.371960,27
23,Cfrp CFRP-QuasiIso [0023],composite,CFRP,CFRP-QuasiIso,JIS,JIS H6002,,,"CFRP,bundle,composite,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1868.14,60784298542.84,0.2459,798692413.9,1956370786.54,8764618.3,5.6393947e-06,273.52,2.6143,2026-02-02T18:45:01.372372,2026-02-02T18:45:01.372377,28
24,Ptfe PTFE-Carbon [0024],polymer,ptfe,PTFE-Carbon,EN,EN 89649,,1.4491,"bundle,polymer,ptfe,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1532.72,6119134819.61,0.3704,122418462.75,220976361.07,3440392.18,3.2564782e-05,151.68,0.4717,2026-02-02T18:45:01.372793,2026-02-02T18:45:01.372796,29
25,Magnesium AZ91D [0025],metal,magnesium,AZ91D,JIS,JIS K3470,X10961,,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7765.12,204927276795.61,0.2983,290424495.8,470922072.63,36567669.71,1.0798199e-05,1247.51,197.127,2026-02-02T18:45:01.373179,2026-02-02T18:45:01.373182,30
26,Steel 4140 [0026],metal,steel,4140,JIS,JIS G1514,X81580,,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8179.5,168424236886.54,0.2688,472556707.99,1971406027.13,37767742.55,8.7058811e-06,932.5,122.3394,2026-02-02T18:45:01.373445,2026-02-02T18:45:01.373449,31
27,Pc PC-FR [0027],polymer,pc,PC-FR,JIS,JIS G5699,,,"bundle,pc,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1079.99,1276036459.05,0.4168,57658844.41,251613451.2,3268967.42,0.00010076229,290.59,0.522,2026-02-02T18:45:01.373709,2026-02-02T18:45:01.373713,32
28,Aluminum 2024 [0028],metal,aluminum,2024,JIS,JIS H1094,X25507,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7686.18,102574408484.87,0.3044,472757985.18,632439171.36,57914838.92,1.6676983e-05,826.09,208.4264,2026-02-02T18:45:01.373978,2026-02-02T18:45:01.373981,33
29,Epoxy EP-HighTemp [0029],polymer,epoxy,EP-HighTemp,JIS,JIS G5475,,,"bundle,epoxy,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1459.72,965299186.5,0.3865,142028886.5,234738869.53,5800231.57,4.9827118e-05,324.28,0.7718,2026-02-02T18:45:01.374515,2026-02-02T18:45:01.374522,34
30,Cfrp CFRP-UD [0030],composite,CFRP,CFRP-UD,JIS,JIS H4935,,,"CFRP,bundle,composite,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1887.76,52853218364.55,0.3475,1066353174.28,1510364776.68,30093467.32,2.2085183e-06,336.88,10.7918,2026-02-02T18:45:01.374890,2026-02-02T18:45:01.374893,35
31,Copper Alloy C11000 [0031],metal,copper alloy,C11000,ASTM,ASTM A304,X97860,,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7602.56,77047886491.01,0.2671,371376528.26,1707910855.94,36202125.29,1.0213147e-05,1452.06,81.2101,2026-02-02T18:45:01.375236,2026-02-02T18:45:01.375244,36
32,Nickel Alloy Hastelloy C276 [0032],metal,nickel alloy,Hastelloy C276,ASTM,ASTM E45,X70493,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8286.31,129178004293.01,0.3317,729577876.24,1166440397.57,51080858.53,2.2587824e-05,986.54,333.4363,2026-02-02T18:45:01.375832,2026-02-02T18:45:01.375838,38
33,Steel 316 [0033],metal,steel,316,EN,EN 86876,X76532,1.8000,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8457.52,60699122056.09,0.3189,330362450.62,1783896950.62,49318230.19,1.8516796e-05,1586.16,188.5005,2026-02-02T18:45:01.376445,2026-02-02T18:45:01.376448,40
34,Zirconia PSZ [0034],ceramic,zirconia,PSZ,ISO,ISO 21469,,,"bundle,ceramic,synthetic,zirconia",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,5816.22,150903609525.03,0.2829,1283427170.48,1630761421.8,5708904.25,2.1845614e-06,1628.39,219.2694,2026-02-02T18:45:01.376594,2026-02-02T18:45:01.376597,41
35,Zirconia Y-TZP [0035],ceramic,zirconia,Y-TZP,EN,EN 16261,,1.2678,"bundle,ceramic,synthetic,zirconia",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,4235.75,353017640605.25,0.1563,1915501829.89,2384005495.98,13325702.14,3.3298252e-06,1520.29,100.2327,2026-02-02T18:45:01.377174,2026-02-02T18:45:01.377177,43
36,Steel 316 [0036],metal,steel,316,EN,EN 40055,X54616,1.6520,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8108.35,175143813843.32,0.3337,401127721.43,594815803.49,34396627.12,2.4030466e-05,729.5,27.7233,2026-02-02T18:45:01.377601,2026-02-02T18:45:01.377606,44
37,Aluminum 5052 [0037],metal,aluminum,5052,ISO,ISO 92031,X90353,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8555.62,165385199200.55,0.347,542055603.81,1503931996.2,43709539.34,2.0921543e-05,892.05,55.6199,2026-02-02T18:45:01.378031,2026-02-02T18:45:01.378034,45
38,Alumina Al2O3 95% [0038],ceramic,alumina,Al2O3 95%,EN,EN 92187,,1.8999,"alumina,bundle,ceramic,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,4691.37,389587449574.2,0.2093,958396200.55,1250890717.64,1147289.35,8.8213586e-06,2224.57,45.564,2026-02-02T18:45:01.378677,2026-02-02T18:45:01.378680,47
39,Gfrp GFRP-UD [0039],composite,GFRP,GFRP-UD,ASTM,ASTM C894,,,"GFRP,bundle,composite,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1877.64,74459814040.02,0.3304,1216872596.96,1690628445.35,23955973.48,1.231465e-05,336.24,4.9252,2026-02-02T18:45:01.379032,2026-02-02T18:45:01.379036,48
40,Titanium Ti-3Al-2.5V [0040],metal,titanium,Ti-3Al-2.5V,ASTM,ASTM B41,X94958,,"bundle,metal,synthetic,titanium",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7647.08,102004318521.13,0.3333,1280283089.02,2155729626.87,75723463.27,2.5610271e-05,1280.58,325.5774,2026-02-02T18:45:01.379620,2026-02-02T18:45:01.379626,50
41,Glass Borosilicate [0041],ceramic,glass,Borosilicate,JIS,JIS K1567,,,"bundle,ceramic,glass,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,5951.52,238114979409.58,0.2277,3518788490.42,4461621303.42,34891497.07,1.5064782e-06,2444.8,110.7846,2026-02-02T18:45:01.379875,2026-02-02T18:45:01.379878,51
42,Titanium Ti-6Al-4V [0042],metal,titanium,Ti-6Al-4V,EN,EN 74694,X68494,1.1608,"bundle,metal,synthetic,titanium",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8868.95,150092111243.08,0.2807,222480816.01,855178449.46,32335243.92,2.1866991e-05,849.48,374.5822,2026-02-02T18:45:01.380153,2026-02-02T18:45:01.380157,52
43,Nickel Alloy Inconel 718 [0043],metal,nickel alloy,Inconel 718,ISO,ISO 49286,X26589,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7855.12,153226130920.54,0.2934,256653766.02,1624215356.61,27292667.62,1.0936713e-05,602.77,327.0691,2026-02-02T18:45:01.380498,2026-02-02T18:45:01.380501,53
44,Aluminum 7075 [0044],metal,aluminum,7075,EN,EN 33543,X85671,1.2816,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8229.2,64908601333.82,0.2968,844043775.97,1914077662.1,76192564.1,1.4968714e-05,768.55,247.8916,2026-02-02T18:45:01.381181,2026-02-02T18:45:01.381188,55
45,Titanium Ti-3Al-2.5V [0045],metal,titanium,Ti-3Al-2.5V,EN,EN 73756,X38487,1.8059,"bundle,metal,synthetic,titanium",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7512.91,79787301432.73,0.2946,320314299.93,1975625441.71,22404886.27,2.285445e-05,832.66,403.0775,2026-02-02T18:45:01.381580,2026-02-02T18:45:01.381584,56
46,Peek PEEK-GF30 [0046],polymer,peek,PEEK-GF30,JIS,JIS G8870,,,"bundle,peek,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,971.08,11587423909.19,0.3834,185264919.32,211083915.15,11207576.05,0.00010368134,153.36,0.3718,2026-02-02T18:45:01.381958,2026-02-02T18:45:01.381962,57
47,Nickel Alloy Inconel 625 [0047],metal,nickel alloy,Inconel 625,ASTM,ASTM B354,X64189,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7709.04,132071581724.46,0.3536,463562927.15,842928873.67,42629289.62,1.4368197e-05,1642.59,104.1505,2026-02-02T18:45:01.382347,2026-02-02T18:45:01.382355,58
48,Cfrp CFRP-QuasiIso [0048],composite,CFRP,CFRP-QuasiIso,ASTM,ASTM A700,,,"CFRP,bundle,composite,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1420.46,108385277973.07,0.3162,214833050.85,766756264.57,5136283.34,1.0963493e-05,234.81,8.2271,2026-02-02T18:45:01.382626,2026-02-02T18:45:01.382629,59
49,Aluminum 2024 [0049],metal,aluminum,2024,ASTM,ASTM B250,X16249,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7885.26,164419821591.52,0.3372,1452554843.67,2168305064.04,157825172.35,2.0251383e-05,722.54,346.1648,2026-02-02T18:45:01.383156,2026-02-02T18:45:01.383162,61
50,Magnesium AZ91D [0050],metal,magnesium,AZ91D,ASTM,ASTM A75,X83038,,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8669.31,184185868045.97,0.304,1419681305.75,2224700074.27,193017535.01,2.1309273e-05,1604.99,384.5649,2026-02-02T18:45:01.383620,2026-02-02T18:45:01.383627,62
51,Nylon PA66 [0051],polymer,nylon,PA66,JIS,JIS H6157,,,"bundle,nylon,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1268.84,15727047183.19,0.4453,78783826.81,207984710.38,5429579.66,0.00010124262,139.32,0.5654,2026-02-02T18:45:01.383931,2026-02-02T18:45:01.383936,63
52,Steel 1045 [0052],metal,steel,1045,EN,EN 79588,X12030,1.8958,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8659.64,188338789443.87,0.3055,683503626.98,1395501211.05,28575929.87,1.7252133e-05,616.26,368.2245,2026-02-02T18:45:01.384434,2026-02-02T18:45:01.384439,65
53,Ptfe PTFE-Carbon [0053],polymer,ptfe,PTFE-Carbon,JIS,JIS H9111,,,"bundle,polymer,ptfe,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1421.29,11392347475.27,0.4473,129300534.39,155878604.95,4133873.43,0.00010741102,136.26,0.671,2026-02-02T18:45:01.384725,2026-02-02T18:45:01.384729,66
54,Steel 4140 [0054],metal,steel,4140,JIS,JIS H5406,X85136,,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7651.23,144197523201.09,0.3568,984184727.99,1466569215.56,84505495.57,2.5094934e-05,760.43,213.1553,2026-02-02T18:45:01.385201,2026-02-02T18:45:01.385204,67
55,Silicon Nitride Si3N4-Sintered [0055],ceramic,silicon nitride,Si3N4-Sintered,ASTM,ASTM B135,,,"bundle,ceramic,silicon_nitride,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,4965.69,400482367000.65,0.289,2584468187.02,4026483285.89,5397267.27,3.069965e-06,1293.03,134.7791,2026-02-02T18:45:01.385487,2026-02-02T18:45:01.385490,68
56,Pc PC [0056],polymer,pc,PC,ISO,ISO 97936,,,"bundle,pc,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1450.86,17750387502.36,0.3421,64934056.87,224583400.97,4835715.93,0.00010963353,341.52,0.2643,2026-02-02T18:45:01.385723,2026-02-02T18:45:01.385726,69
57,Nickel Alloy Inconel 718 [0057],metal,nickel alloy,Inconel 718,ASTM,ASTM D72,X12988,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7573.52,209328748951.83,0.2787,1488700868.97,2289803983.57,98435194.77,1.1554221e-05,798.47,223.2033,2026-02-02T18:45:01.386056,2026-02-02T18:45:01.386059,70
58,Pc PC [0058],polymer,pc,PC,EN,EN 39151,,1.3485,"bundle,pc,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,955.17,13580471725.66,0.3832,42446189.54,87266214.98,2717239.55,5.885602e-05,280.75,0.7158,2026-02-02T18:45:01.386636,2026-02-02T18:45:01.386643,72
59,Ptfe PTFE [0059],polymer,ptfe,PTFE,JIS,JIS K9175,,,"bundle,polymer,ptfe,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1255.73,10060787492.79,0.4377,135425971.91,250508895.26,9513411.57,0.00013067245,333.8,0.1992,2026-02-02T18:45:01.386908,2026-02-02T18:45:01.386912,73
60,Peek PEEK-CF30 [0060],polymer,peek,PEEK-CF30,ISO,ISO 48448,,,"bundle,peek,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1485.97,15347570741.85,0.402,153908523.32,175337425.26,9390259.34,6.4110491e-05,139.75,0.1345,2026-02-02T18:45:01.388165,2026-02-02T18:45:01.388176,75
61,Pc PC-FR [0061],polymer,pc,PC-FR,ISO,ISO 37229,,,"bundle,pc,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,976.73,11053515271.1,0.3541,132125245.09,210961920.97,9349440.03,9.9727904e-05,245.68,0.6935,2026-02-02T18:45:01.388641,2026-02-02T18:45:01.388651,76
62,Ptfe PTFE-Glass [0062],polymer,ptfe,PTFE-Glass,JIS,JIS K8882,,,"bundle,polymer,ptfe,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1556.85,12772438821.32,0.3317,87044794.81,143479925.23,1822790.39,4.8322239e-05,156.66,0.4302,2026-02-02T18:45:01.389433,2026-02-02T18:45:01.389439,78
63,Silicon Nitride Si3N4-HIP [0063],ceramic,silicon nitride,Si3N4-HIP,EN,EN 62546,,1.9742,"bundle,ceramic,silicon_nitride,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,3900.39,80309851768.3,0.1492,865171246.46,1561180374.52,6798188.07,9.0337342e-06,1870.53,186.4807,2026-02-02T18:45:01.389945,2026-02-02T18:45:01.389948,80
64,Aluminum 1100 [0064],metal,aluminum,1100,JIS,JIS H4206,X66691,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8311.97,116660998221.09,0.3207,1361535848.64,1904856606.23,135601751.9,7.2483311e-06,1114.01,352.509,2026-02-02T18:45:01.390246,2026-02-02T18:45:01.390251,81
65,Glass Soda-lime [0065],ceramic,glass,Soda-lime,ASTM,ASTM B957,,,"bundle,ceramic,glass,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,5034.46,276136807650.13,0.2029,3096085615.67,4126114924.09,21973017.39,7.7695257e-06,1585.63,48.0843,2026-02-02T18:45:01.391296,2026-02-02T18:45:01.391301,83
66,Magnesium AZ91D [0066],metal,magnesium,AZ91D,EN,EN 82091,X49941,1.8119,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8571.58,156451767063.81,0.271,1401414101.36,1971071775.59,163092975.21,2.5487479e-05,1367.82,153.147,2026-02-02T18:45:01.391678,2026-02-02T18:45:01.391684,84
